date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:33	34789/34789	---M-Z	200	added ('OK')	text/css	etag:%229052d5c586a8ca364fbd780a26fbd0d3%22	http://brasil-colonia.info/cache/jsn_dome_pro/uncss-7cae9b80f068e109e57a4620f3d15225.css	D:/projetos/Brasil%20Info/brasil-colonia.info/cache/jsn_dome_pro/uncss-7cae9b80f068e109e57a4620f3d15225.css	(from http://brasil-colonia.info/independencia-do-brasil.html)
10:10:33	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:30%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/independencia-do-brasil.html)
10:10:33	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:30%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/independencia-do-brasil.html)
10:10:34	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:30%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/independencia-do-brasil.html)
10:10:34	14009/14009	---M--	200	added ('OK')	binary/octet-stream	etag:%22fef517802a0dd02b817a34362e1b56b3%22	http://brasil-colonia.info/images/imagens/dom-pedro-i-imperador-brasil.jpg	D:/projetos/Brasil%20Info/brasil-colonia.info/images/imagens/dom-pedro-i-imperador-brasil.jpg	(from http://brasil-colonia.info/independencia-do-brasil.html)
10:10:34	33087/33087	---M-Z	200	added ('OK')	text/css	etag:%22f17b32f29d11a1c4386705bd707a0138%22	http://brasil-colonia.info/cache/jsn_dome_pro/uncss-21afc6477a219c34afe91518d6375694.css	D:/projetos/Brasil%20Info/brasil-colonia.info/cache/jsn_dome_pro/uncss-21afc6477a219c34afe91518d6375694.css	(from http://brasil-colonia.info/economia-colonial.html)
10:10:34	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:31%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/economia-colonial.html)
10:10:34	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:31%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/economia-colonial.html)
10:10:35	23961/23961	---M--	200	added ('OK')	binary/octet-stream	etag:%2263e21d75064fd9f341d48e3e2a6a5624%22	http://brasil-colonia.info/images/imagens/cana-de-acucar.jpg	D:/projetos/Brasil%20Info/brasil-colonia.info/images/imagens/cana-de-acucar.jpg	(from http://brasil-colonia.info/economia-colonial.html)
10:10:36	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:32%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/economia-colonial.html)
